id,nombre,email,departamento,salario,activo
1,Gabriela Ruiz,gabriela.ruiz@empresa.com,RRHH,43066.21,yes
2,López,.lópez,,34914.46,no
3,Diana Torres,diana.torres@corp.net,TI,52922.93, 
4,Ana Hernández,ana.hernández@corp.net,,70723.98,
5,García,.garcía@corp.net,Marketing,68109.02,no
6,Torres,.torres,Marketing,52659.87,t
7,Carlos Martínez,,Marketing,30642.44, 
8,Carlos Martínez,carlos.martínez@corp.net,,37212.09,f
9,Gabriela García,gabriela.garcía,Ventas,37349.63,0
10,Fernando Ruiz,fernando.ruiz,,66736.26,f,extra
11,Bob García,bob.garcía@corp.net,,48279.01,1
12,Diana,diana.,TI,57820.65,true
13,Carlos Martínez,carlos.martínez,Ventas,61751.82, 
14,García,.garcía,TI,38950.76,true
15,Diana López,diana.lópez,Ventas,, 
16,,.@corp.net,TI,27034.11
17,Diana García,diana.garcía,,51036.99,true
18,Fernando García,fernando.garcía,RRHH,73921.76,f
19,Carlos,carlos.,,64989.47,false
20,Carlos Martínez,carlos.martínez@empresa.com,RRHH,58144.19,t
21,García,.garcía,,78901.5,true
22,Fernando Ruiz,fernando.ruiz@corp.net,,26913.94,false
23,Fernando,fernando.@empresa.com,,45403.05,f
24,Hernández,.hernández,Ventas,N/A,f
25,Bob Martínez,bob.martínez,Ventas,75406.34,f
26,Bob,bob.,TI,79261.61,0
27,Eva Martínez,eva.martínez@corp.net,,79182.29,yes
28,Fernando Hernández,fernando.hernández@corp.net,,46898.8,f
29,Bob Ruiz,bob.ruiz@empresa.com,Marketing,32058.4, 
30,Carlos,carlos.@empresa.com,,34056.14,0
31,Martínez,.martínez,Ventas,31884.37,1
32,Carlos Ruiz,carlos.ruiz,,N/A
33,Eva Torres,eva.torres,,59494.02,1
34,Diana,diana.@empresa.com,  ,,f
35,Fernando Ruiz,fernando.ruiz,  ,46929.41,0
36,Diana,diana.,Ventas,76996.17,
37,Carlos Hernández,carlos.hernández,Ventas,53309.87,f
38,Bob,bob.@corp.net,Ventas,pendiente,f
39,Martínez,.martínez@empresa.com,Marketing,45117.77,t
40,Torres,.torres,TI,55242.14,
41,Bob,bob.,,35948.18, ,extra
42,Ana Ruiz,ana.ruiz,,53352.82,0
43,Gabriela Martínez,gabriela.martínez,  ,25915.03,0
44,Eva García,eva.garcía,  ,56769.89,true
45,Gabriela Ruiz,gabriela.ruiz@corp.net,TI,35493.14,f
46,Diana,diana.,,63817.64, 
47,,.@corp.net,Marketing,44485.78,1
48,Diana Martínez,diana.martínez@corp.net,RRHH,62963.2,f
49,Eva Martínez,eva.martínez,Marketing,69253.87
50,Bob Hernández,bob.hernández,  ,54621.79, 
51,Diana Torres,,,30510.89,0
52,Carlos García,carlos.garcía@corp.net,Marketing,51163.48,no
53,Eva García,eva.garcía@empresa.com,  ,64771.47,true
54,Carlos García,carlos.garcía,,77917.23,1,extra
55,Bob Hernández,bob.hernández,Ventas,35604.63,false
56,Eva Ruiz,,RRHH,66650.55,yes
57,Gabriela,gabriela.@empresa.com,Marketing,32733.65,0,extra
